"","name","year","Europe","Asia","Australia","Africa","North_America","South_America","pocet_zubu","million_years","film","feet","tons"
"1","Dryosaurus",NA,"nezname","nezname","nezname","nezname","detected","0"," teeth",NA,"ne"," feet","46 tons"
"2","Alvarezsaurus",1975,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","90 million years","ne","50 feet","42 tons"
"3","Arcovenator",1936,"nezname","nezname","nezname","detected","detected","nezname"," teeth",NA,"ne"," feet","52 tons"
"4","Acanthopholis",1913,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","166 million years","ne",NA,"50 tons"
"5","Aristosuchus",1921,"detected","detected","nezname","nezname","nezname","nezname",NA,NA,"ne","14 feet","27 tons"
"6","Atlascopcosaurus",1948,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","140 million years","ne"," feet","27 tons"
"7","Anchiornis",1916,"nezname","nezname","nezname","nezname","nezname","nezname",NA,"76 million years","ne",NA,"42 tons"
"8","Styracosaurus",1922,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","80 million years","ne","20 feet","38 tons"
"9","Zhuchengceratops",1927,"detected","nezname","nezname","nezname","nezname","nezname"," teeth","70 million years","ne","10 feet",NA
"10","Bothriospondylus",NA,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth",NA,"ne",NA,"66 tons"
"11","Balaur",1915,"nezname","detected","nezname","nezname","detected","nezname"," teeth","93 million years","ne","0","63 tons"
"12","Achelosaurus",1944,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","70 million years","ne","40 feet","67 tons"
"13","Segnosaurus",1907,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","75 million years","ne"," feet","21 tons"
"14","Bonitasaura",1933,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth",NA,"ne"," feet","52 tons"
"15","Aublysodon",1930,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth",NA,"ne"," feet","13 tons"
"16","Ampelosaurus",1926,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","70 million years","ne","49 feet",NA
"17","Saltasaurus",1916,"nezname","nezname","nezname","nezname","nezname","nezname",NA,"65 million years","ne",NA,NA
"18","Angolatitan",1916,"detected","nezname","nezname","nezname","detected","nezname"," teeth",NA,"ne","26 feet","54 tons"
"19","Marginocephalians",1961,"nezname","nezname","nezname","nezname","detected","nezname"," teeth",NA,"ne","9 feet","18 tons"
"20","Barosaurus",NA,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","80 million years","ne",NA,"37 tons"
"21","Astrodon",1980,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","65 million years","ne","14 feet","50 tons"
"22","Titanosaurids",1913,"nezname","nezname","nezname","detected","nezname","nezname","0",NA,"ne","13 feet","17 tons"
"23","",1961,"nezname","detected","nezname","nezname","detected","nezname",NA,"90 million years","ne",NA,"59 tons"
"24","Gondwanatitan",1914,"nezname","detected","nezname","nezname","detected","nezname"," teeth",NA,"ne",NA,NA
"25","Anzu",1922,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","71 million years","ne","10 feet","39 tons"
"26","Coelurus",1938,"nezname","nezname","nezname","detected","detected","nezname"," teeth","73 million years","ne",NA,"55 tons"
"27","Alaskacephale",1966,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","72 million years","ne","26 feet","8 tons"
"28","Barsboldia",1919,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth",NA,"ne","13 feet","52 tons"
"29","Avaceratops",1950,"detected","nezname","nezname","nezname","detected","nezname"," teeth","100 million years","ne","8 feet",NA
"30","Seismosaurus",NA,"nezname","detected","nezname","nezname","detected","nezname",NA,NA,"ne",NA,"17 tons"
"31","Dromiceiomimus",1956,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth",NA,"ne",NA,"17 tons"
"32","Auroraceratops",1922,"nezname","nezname","nezname","detected","nezname","nezname"," teeth","72 million years","ne"," feet",NA
"33","Eobrontosaurus",1972,"nezname","detected","nezname","nezname","nezname","nezname",NA,"100 million years","ne","33 feet","64 tons"
"34","Saurischian",1965,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","78 million years","ne"," feet",NA
"35","Rinconsaurus",1912,"nezname","detected","nezname","nezname","nezname","nezname"," teeth",NA,"ne","5 feet","29 tons"
"36","Alxasaurus",1959,"detected","nezname","detected","detected","detected","nezname"," teeth","10 million years","ne","30 feet","67 tons"
"37","Judiceratops",1920,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","70 million years","ne",NA,"37 tons"
"38","Carnotaurus",1922,"nezname","nezname","nezname","0","detected","nezname"," teeth","70 million years","ne","5 feet","62 tons"
"39","Aviatyrannis",1945,"nezname","nezname","nezname","nezname","detected","nezname",NA,NA,"ne",NA,NA
"40","Aralosaurus",1912,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","97 million years","ne","25 feet","38 tons"
"41","Thyreophorans",1941,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","97 million years","ne",NA,NA
"42","Lusitanosaurus",1953,"nezname","nezname","nezname","nezname","detected","nezname",NA,NA,"ne","5 feet","15 tons"
"43","Abelisaurus",1949,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","90 million years","ne","72 feet","38 tons"
"44","Cryolophosaurusellioti",1971,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","145 million years","ne","9 feet","38 tons"
"45","Aorun",1979,"nezname","0","nezname","nezname","nezname","nezname"," teeth","79 million years","ne",NA,"60 tons"
"46","Berberosaurus",1976,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","72 million years","ne",NA,"15 tons"
"47","Angulomastacator",1903,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","120 million years","ne","15 feet","70 tons"
"48","Anabisetia",1978,"nezname","nezname","nezname","nezname","detected","nezname"," teeth","105 million years","ne"," feet","8 tons"
"49","Apatosaurus",1915,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","150 million years","ne",NA,NA
"50","Albertadromeus",1900,"nezname","nezname","nezname","detected","nezname","nezname"," teeth","166 million years","ne",NA,"49 tons"
"51","Marginocephalians",1922,"nezname","nezname","nezname","nezname","detected","nezname",NA,"66 million years","ne","9 feet","69 tons"
"52","Yongjinglong",1921,"nezname","nezname","nezname","nezname","nezname","nezname",NA,NA,"ne","33 feet","5 tons"
"53","Argyrosaurus",1971,"nezname","nezname","nezname","nezname","nezname","nezname",NA,NA,"ne","3 feet","57 tons"
"54","Pachyrhinosaurus",1906,"nezname","nezname","nezname","nezname","nezname","nezname"," teeth","122 million years","ne","4 feet",NA
