"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Gondwanatitan",165,145,116,64,37,19,21,12,15,20
"2","Titanosaurids",13,17,20,15,17,24,30,35,37,35
"3","Australovenator",127,147,121,143,194,254,305,430,241,304
"4","Mamenchisaurus",146,172,241,255,380,213,204,180,205,207
"5","Saltopus",75,52,73,80,119,119,133,124,82,96
"6","Agujaceratops",66,40,50,46,53,31,33,38,53,55
"7","Bagaceratops",112,124,182,144,76,112,147,209,117,84
"8","Barapasaurus",80,94,59,81,42,21,26,19,13,9
"9","Becklespinax",32,36,39,57,51,26,16,19,16,8
"10","Cryolophosaurusellioti",136,180,266,372,420,596,429,245,125,108
"11","Ampelosaurus",183,185,215,303,451,636,909,627,571,754
"12","Angolatitan",34,29,27,37,23,18,24,26,38,33
"13","Barilium",166,143,169,174,223,181,183,220,264,148
"14","Khaan",102,108,134,121,71,49,63,67,36,44
"15","Austroraptor",40,36,40,55,66,94,102,56,45,63
"16","Marginocephalians",116,58,53,78,66,64,39,35,39,49
"17","Austrosaurus",140,143,144,114,99,80,52,43,59,63
"18","Argyrosaurus",26,17,15,10,5,5,3,3,3,4
"19","Bistahieversor",21,26,28,23,26,31,28,41,34,18
"20","Aletopelta",132,73,75,91,61,64,66,88,83,46
"21","Achelosaurus",184,94,69,39,32,16,24,25,28,40
"22","Tyrannosaurusrex",39,58,31,31,19,18,15,18,19,14
"23","Alxasaurus",85,78,113,125,89,68,73,46,27,30
"24","Albalophosaurus",167,245,279,382,214,199,265,159,164,134
"25","Amazonsaurus",44,44,27,22,15,13,9,7,5,7
"26","Nemegtosaurus",151,225,320,419,574,540,799,1007,745,611
"27","Ceratonykus",179,265,154,223,174,242,169,112,138,156
"28","Eobrontosaurus",157,236,328,433,286,326,440,484,552,508
"29","Irritator",114,157,104,73,99,107,138,135,171,236
"30","Amargasaurus",150,93,134,139,120,138,207,164,244,185
"31","Alvarezsaurus",83,73,101,116,174,197,252,333,213,234
"32","Giganotosaurus",176,239,294,353,399,243,173,163,163,145
"33","Bravoceratops",15,19,12,7,9,12,8,6,8,9
"34","Aragosaurus",124,153,226,208,202,176,160,99,52,75
"35","Antetonitrus",199,109,104,59,47,51,75,108,133,78
"36","Styracosaurus",98,127,116,60,44,37,24,30,31,18
"37","Seismosaurus",94,118,126,71,50,66,36,34,39,34
"38","Alioramus",36,34,49,48,60,54,74,58,42,30
"39","Balaur",53,58,39,43,42,22,25,15,18,18
"40","Alaskacephale",77,43,23,30,39,55,53,28,17,25
"41","Marginocephalians",194,272,283,156,229,318,312,312,306,223
"42","Pachyrhinosaurus",169,96,144,102,130,118,98,60,89,85
"43","Incisivosaurus",173,240,137,125,126,173,199,201,119,65
"44","Archaeornithomimus",29,15,10,8,11,15,21,13,14,9
"45","Camptosaurus",46,69,39,39,48,53,75,52,66,48
"46","Amygdalodon",79,93,124,139,118,145,170,99,86,65
"47","Hadrosaurids",47,38,41,42,61,52,43,44,44,51
"48","Abrosaurus",30,16,18,12,15,11,8,10,9,9
"49","Animantarx",149,116,101,53,39,54,59,77,84,80
"50","Albertonykus",115,161,158,166,111,135,70,100,88,87
"51","Zhuchengceratops",42,45,51,63,47,46,45,28,38,20
"52","Kaijiangosaurus",178,258,292,371,397,552,762,899,1268,1129
"53","Alamosaurus",97,144,213,256,335,362,228,132,129,89
"54","Gargoyleosaurus",71,79,70,99,132,91,77,111,99,123
"55","Suchomimus",192,138,135,128,67,78,58,47,70,97
"56","Rajasaurus",49,31,32,45,63,57,84,91,125,132
"57","Acrotholus",119,121,126,98,113,81,76,67,78,101
"58","Saurischian",118,162,105,85,79,65,66,92,102,101
"59","Edmontosaurus",128,170,180,155,93,94,78,88,78,72
"60","Beipiaosaurus",155,183,232,202,224,332,292,333,443,394
"61","Aralosaurus",50,43,34,49,46,47,47,53,68,101
"62","Anzu",143,164,102,51,57,30,30,21,14,14
"63","Arrhinoceratops",14,16,20,10,11,9,5,4,3,3
"64","Aublysodon",64,77,75,72,79,58,41,55,50,60
"65","Camarillasaurus",106,56,55,74,44,44,30,40,32,42
"66","Kotasaurus",10,12,12,6,9,6,3,4,3,4
"67","Ceratonykus",145,103,153,136,80,51,49,67,44,37
"68","Dromiceiomimus",56,45,27,16,18,14,15,19,28,29
"69","Atlascopcosaurus",6,8,11,12,11,16,11,6,6,5
