"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Rajasaurus",198,147,112,153,210,281,346,502,688,874
"2","",146,134,99,92,108,149,89,74,90,75
"3","Quaesitosaurus",197,138,135,189,106,60,71,63,54,73
"4","Atlascopcosaurus",199,255,255,163,233,126,67,50,64,46
"5","Bistahieversor",34,40,45,52,55,80,42,49,34,48
"6","Khaan",127,144,176,252,224,148,107,113,97,145
"7","Gondwanatitan",72,95,68,36,35,25,29,39,44,48
"8","Ceratonykus",111,101,107,113,81,53,54,81,79,91
"9","Carnotaurus",62,38,40,45,29,18,22,29,32,16
"10","Australovenator",130,110,72,79,96,73,42,34,33,24
"11","Bagaceratops",196,194,279,379,542,276,334,267,166,196
"12","Incisivosaurus",151,151,171,209,311,162,180,135,100,77
"13","Procompsognathus",10,9,6,4,5,7,6,6,4,4
"14","Segnosaurus",91,136,167,227,161,227,281,326,391,207
"15","Anabisetia",33,44,61,80,119,88,82,48,51,65
"16","Avaceratops",128,175,149,76,97,108,153,158,153,122
"17","Aralosaurus",106,144,153,203,108,139,121,117,58,79
"18","Saurornithoides",31,21,16,13,8,9,5,6,8,8
"19","Saltopus",142,92,86,77,39,37,55,36,28,17
"20","Allosaurus",14,12,12,11,16,21,31,31,38,54
"21","Astrodon",69,40,51,71,50,27,17,16,8,4
"22","Titanosaurids",19,27,21,19,20,26,39,48,52,38
"23","Alxasaurus",40,46,40,59,48,48,44,29,39,43
"24","Barapasaurus",54,45,45,60,67,44,48,70,57,56
"25","Hypsilophodon",123,141,134,109,117,105,69,97,84,112
"26","Judiceratops",108,149,149,74,62,80,82,108,154,152
"27","Ceratonykus",17,11,10,14,9,10,9,9,6,3
"28","Abydosaurus",184,178,203,268,255,260,296,269,296,429
"29","Animantarx",73,75,76,109,98,62,87,66,97,103
"30","Saurischian",29,34,50,35,29,23,29,40,59,78
"31","Archaeoceratops",83,120,168,126,183,264,235,244,166,191
"32","Angaturama",79,43,59,56,63,57,66,96,117,170
"33","Noasaurus",110,110,139,152,219,219,180,223,114,114
"34","Abrosaurus",98,50,64,36,33,45,34,37,27,21
"35","Therizinosaurus",133,170,117,81,88,84,123,97,76,88
"36","Parasaurolophus",131,182,102,51,56,29,33,26,14,17
"37","Ornithomimus",152,81,80,114,86,64,33,21,20,24
"38","Bonitasaura",55,77,65,57,67,34,31,24,24,15
"39","Barsboldia",193,262,341,181,170,192,196,196,243,204
"40","Yongjinglong",101,87,59,80,58,85,68,86,67,88
"41","Saltasaurus",20,12,18,21,11,10,15,14,13,19
"42","Alioramus",38,19,12,13,16,17,20,30,36,32
"43","Deinonychus",114,168,101,143,137,163,90,83,45,47
"44","Eobrontosaurus",52,42,60,82,69,87,61,50,42,41
"45","Asylosaurus",140,92,75,94,83,81,99,114,73,59
"46","Spinosaurus",45,32,17,14,16,19,17,16,13,7
"47","Brachytrachelopan",87,76,111,93,125,94,69,73,108,109
"48","Rinconsaurus",191,115,101,71,92,90,47,62,54,65
"49","Bruhathkayosaurus",65,67,96,123,117,75,64,58,69,47
"50","Apatosaurus",178,121,128,106,76,86,89,133,193,141
"51","Marginocephalians",168,188,269,143,129,115,100,85,76,61
"52","Austrosaurus",86,117,95,118,133,152,164,85,65,38
"53","Auroraceratops",92,124,148,186,193,212,106,155,136,69
"54","Becklespinax",48,53,53,60,73,82,114,68,80,50
"55","Cetiosauriscus",176,238,138,116,82,56,52,57,71,100
"56","Angulomastacator",147,106,148,167,180,157,182,197,213,121
"57","Ammosaurus",71,99,146,209,303,239,127,157,221,225
"58","Saurornithoides",51,46,24,13,18,15,14,8,9,8
"59","Abelisaurus",129,116,95,82,109,57,45,31,30,41
"60","Mamenchisaurus",115,151,195,105,63,71,57,54,29,40
