"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Bactrosaurus",125,101,91,103,151,157,151,225,200,146
"2","Auroraceratops",169,123,86,50,72,102,138,153,217,169
"3","Quaesitosaurus",66,61,45,63,63,62,58,34,37,51
"4","Deinonychus",24,14,12,17,13,16,15,12,10,12
"5","Carnotaurus",23,23,20,10,11,12,13,13,8,11
"6","Bruhathkayosaurus",130,148,213,128,164,126,174,134,96,54
"7","Barosaurus",115,78,113,110,63,70,57,42,26,13
"8","Wulagasaurus",155,153,184,155,130,179,224,305,183,154
"9","Archaeornithomimus",187,153,112,63,43,31,20,23,20,13
"10","Bahariasaurus",36,49,53,78,66,66,44,32,17,24
"11","Ammosaurus",123,90,68,82,62,38,22,28,23,31
"12","Indosuchus",161,161,195,230,129,188,124,129,90,78
"13","Anabisetia",135,144,122,163,129,143,103,56,44,49
"14","Aardonyx",200,134,133,126,163,212,182,120,162,136
"15","Abrosaurus",116,121,114,64,42,37,51,26,35,50
"16","Rhabdodon",101,131,131,105,139,120,83,50,28,23
"17","Hadrosaurids",29,22,21,20,23,22,31,16,9,12
"18","Astrodon",178,255,382,248,243,318,391,258,188,274
"19","Aegyptosaurus",18,19,22,21,16,23,20,13,9,11
"20","Acanthopholis",62,71,45,43,46,42,53,28,17,21
"21","Barapasaurus",179,247,235,155,147,128,65,47,28,31
"22","Oviraptor",73,99,92,47,52,71,77,110,96,93
"23","Segnosaurus",87,77,92,110,165,172,205,252,270,340
"24","Angulomastacator",107,77,109,134,94,72,102,69,72,72
"25","Agujaceratops",106,104,73,39,27,20,16,14,16,11
"26","Abelisaurus",98,132,67,64,93,77,99,104,151,216
"27","Brachytrachelopan",48,27,18,26,33,49,55,45,35,37
"28","Byronosaurus",132,162,204,116,108,89,125,109,93,111
"29","Titanosaurids",177,212,293,173,159,181,129,81,83,83
"30","Achelosaurus",68,64,35,48,58,77,90,135,140,99
"31","Gargoyleosaurus",55,72,95,60,82,83,78,64,36,22
"32","Saltriosaurus",67,50,72,53,55,32,32,31,25,19
"33","Incisivosaurus",17,24,32,45,33,17,13,16,20,15
"34","Angolatitan",111,130,143,164,90,55,52,31,17,16
"35","Eobrontosaurus",41,30,22,16,18,17,19,28,41,51
"36","Euoplocephalus",159,234,351,386,452,660,706,1031,1175,1739
"37","Abydosaurus",126,171,92,98,110,114,82,96,137,93
"38","Australodocus",180,155,110,120,115,144,151,121,63,66
"39","Ceratonykus",185,124,71,77,56,82,80,70,41,36
"40","Ouranosaurus",129,168,176,116,108,126,78,59,38,41
"41","Anodontosaurus",105,96,121,91,73,61,65,85,55,78
"42","Animantarx",182,215,133,94,102,84,61,70,48,61
"43","Neovenator",94,111,58,77,109,89,108,60,52,35
"44","Alxasaurus",56,83,93,139,152,185,200,182,107,148
"45","Hadrosaurus",108,111,69,53,77,115,120,98,106,118
"46","Pachyrhinosaurus",175,214,295,233,154,136,73,50,28,22
"47","Coelurus",140,176,209,171,192,265,368,537,397,429
"48","Barilium",13,6,9,5,7,7,7,5,6,3
"49","Archaeoceratops",47,68,87,110,58,44,32,31,29,29
"50","Amazonsaurus",170,165,195,279,385,477,687,818,581,651
"51","Camarillasaurus",71,52,73,48,48,46,46,25,16,16
"52","struthiomimus",14,10,14,10,14,16,13,15,8,6
"53","Procompsognathus",32,34,31,45,24,26,31,27,28,35
"54","Camptosaurus",39,52,48,38,21,11,16,10,11,16
"55","Saltopus",137,107,126,86,76,93,100,98,84,104
"56","Brachiosaurus",136,107,73,72,39,56,46,34,35,41
"57","Parasaurolophus",184,121,122,63,45,39,47,28,39,43
"58","Seismosaurus",30,41,41,21,16,9,8,8,9,7
"59","Alaskacephale",120,127,127,74,61,48,31,42,40,52
"60","Barsboldia",69,79,115,129,97,78,77,45,40,37
"61","Ampelosaurus",63,43,59,32,35,26,24,13,18,21
"62","Ajkaceratops",158,232,186,244,122,156,165,155,121,137
"63","Ceratonykus",40,56,41,23,15,11,13,7,7,9
"64","Oohkotokia",8,8,7,10,15,10,13,14,15,9
"65","Aquilops",114,57,52,71,104,145,113,97,93,111
"66","Arrhinoceratops",138,73,81,108,66,51,37,40,23,27
"67","Aralosaurus",88,67,94,69,46,61,41,54,36,47
"68","Noasaurus",146,80,74,78,94,81,43,47,54,80
"69","Tyrannosaurusrex",171,203,138,110,116,84,71,44,42,50
"70","Alwalkeria",186,175,159,113,58,78,94,63,83,86
"71","Argyrosaurus",128,172,131,109,75,69,64,80,82,70
"72","Bagaceratops",34,22,16,16,21,26,16,20,10,8
"73","Styracosaurus",99,82,72,80,110,114,78,61,89,114
"74","Anzu",58,36,25,24,31,42,24,25,32,46
"75","Bistahieversor",16,20,17,12,7,8,10,12,13,14
"76","Therizinosaurus",154,208,106,87,89,117,115,90,103,135
"77","Aletopelta",33,40,40,41,46,44,23,28,33,45
"78","Aragosaurus",145,196,221,225,200,100,123,87,70,52
"79","Ojoceratops",70,36,31,42,57,55,37,31,39,47
"80","Irritator",52,27,15,18,21,24,32,30,18,10
"81","Aristosuchus",50,50,58,46,63,93,60,44,56,72
