"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Titanosaurids",169,210,286,266,287,201,191,264,330,432
"2","Yongjinglong",138,201,105,118,112,59,69,75,48,67
"3","Ampelosaurus",106,113,101,80,47,24,35,38,48,25
"4","Saltasaurus",50,72,42,34,44,49,65,44,33,40
"5","Rinconsaurus",170,233,133,168,223,129,81,68,37,44
"6","Thecodontosaurus",131,106,151,142,135,154,211,274,411,526
"7","Procompsognathus",151,186,180,223,265,167,230,182,231,247
"8","Austroraptor",146,175,198,156,137,155,150,208,179,93
"9","Hadrosaurids",33,44,29,33,21,24,22,26,22,30
"10","Balaur",41,46,65,49,32,46,51,66,49,30
"11","Saltriosaurus",49,74,44,29,41,37,37,26,25,16
"12","Aralosaurus",113,162,130,169,166,131,182,266,215,314
"13","Camptosaurus",21,14,11,6,4,6,8,7,4,3
"14","Anzu",132,67,55,50,38,53,75,79,67,73
"15","Zhuchengceratops",133,141,137,116,164,244,334,498,458,550
"16","Khaan",83,88,107,65,77,50,52,71,106,144
"17","Aquilops",150,184,258,279,338,189,263,376,496,570
"18","Mamenchisaurus",64,52,69,89,95,121,115,71,77,53
"19","Abrictosaurus",155,164,239,146,218,209,188,256,138,186
"20","Antetonitrus",51,29,21,21,13,8,11,6,5,3
"21","Aviatyrannis",190,95,136,146,86,101,72,64,58,44
"22","Pachyrhinosaurus",181,259,267,251,331,324,305,271,341,205
"23","Angulomastacator",34,21,20,18,22,26,18,24,15,9
"24","Byronosaurus",195,250,332,179,200,246,246,305,278,142
"25","Auroraceratops",72,86,92,63,88,58,62,31,41,33
"26","Barilium",7,6,4,4,4,4,3,2,3,2
"27","Agilisaurus",52,42,62,65,68,87,50,50,41,31
"28","Alvarezsaurus",186,182,93,68,91,58,86,91,123,181
"29","Bruhathkayosaurus",29,41,39,30,23,14,8,8,11,6
"30","Alioramus",176,194,233,238,281,149,174,97,64,90
"31","Parasaurolophus",40,29,40,53,63,75,53,77,72,43
"32","Acanthopholis",42,24,16,21,11,10,8,8,5,5
"33","Alxasaurus",101,147,220,227,229,137,196,133,148,96
"34","Theropods",84,107,107,156,212,172,162,152,147,115
"35","Styracosaurus",125,111,147,88,124,93,85,63,93,89
"36","Asylosaurus",130,129,135,68,75,40,34,40,47,28
"37","Anabisetia",76,83,43,41,36,31,40,27,25,31
"38","Thyreophorans",32,25,28,34,48,38,42,46,63,94
"39","Aardonyx",110,126,179,168,89,83,124,100,97,77
"40","Hadrosaurus",100,82,123,79,87,101,124,98,123,155
"41","Archaeornithomimus",115,83,73,82,99,120,65,38,40,29
"42","Barsboldia",102,90,70,78,62,76,87,58,75,50
"43","Brachiosaurus",200,106,70,50,34,27,37,28,23,18
"44","Anchiornis",121,109,160,130,69,81,98,69,79,73
"45","Eobrontosaurus",182,166,179,211,139,186,102,144,189,280
"46","Noasaurus",136,165,109,70,71,75,76,46,36,24
"47","Bothriospondylus",82,119,67,69,44,50,70,69,36,46
"48","Ornithomimus",28,29,24,24,22,28,33,27,23,14
"49","Cryolophosaurusellioti",14,11,10,6,3,2,2,1,1,1
"50","Yixianosaurus",126,144,99,120,137,166,164,115,156,176
"51","Abrosaurus",59,88,55,54,77,92,77,74,111,100
"52","Irritator",118,101,77,85,73,48,66,36,40,22
"53","",65,93,90,83,95,54,59,34,47,57
"54","Gargoyleosaurus",92,75,61,77,100,55,50,52,30,37
"55","Arrhinoceratops",156,136,160,168,205,295,251,138,124,113
"56","Ekrixinatosaurus",196,110,139,142,74,87,61,36,32,28
"57","Amygdalodon",35,38,22,23,28,36,34,18,15,8
"58","Animantarx",55,70,35,44,54,37,21,30,30,40
"59","Cetiosauriscus",134,149,83,103,77,42,28,18,26,26
"60","Amazonsaurus",160,85,67,50,38,40,34,23,25,32
"61","Saurischian",124,112,96,98,74,98,142,160,162,123
"62","struthiomimus",91,132,177,172,136,143,166,239,136,154
"63","Ornithopods",128,124,170,248,203,258,294,182,187,140
"64","Judiceratops",148,89,96,60,86,74,50,75,58,39
"65","Indosuchus",162,243,309,386,201,195,115,163,214,128
"66","Barosaurus",93,124,97,97,79,42,27,38,38,53
"67","Saurornithoides",199,125,114,123,116,79,54,38,54,66
"68","Ceratonykus",154,223,116,118,151,220,180,216,125,138
"69","Aragosaurus",114,127,64,56,56,66,88,109,65,92
"70","Euoplocephalus",57,55,43,24,14,21,25,23,31,37
"71","Hypsilophodon",67,42,28,32,23,25,18,12,12,7
"72","Alaskacephale",111,119,165,102,108,106,153,138,84,45
"73","Anodontosaurus",173,201,165,208,229,321,324,220,257,242
"74","Bistahieversor",120,180,106,127,170,207,282,271,173,171
"75","Bonitasaura",141,209,280,350,332,295,357,300,411,452
"76","Albertonykus",112,67,100,138,195,183,231,261,300,177
"77","Camarillasaurus",17,20,17,13,18,20,13,11,8,11
"78","Tyrannosaurusrex",73,105,105,106,57,43,22,28,42,31
