"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Aquilops",185,242,136,154,140,73,77,101,133,114
"2","Camarillasaurus",57,78,106,68,64,90,68,102,113,69
"3","Anchiornis",170,126,151,217,115,61,56,64,93,77
"4","Alxasaurus",36,54,55,68,102,104,146,105,132,81
"5","Parasaurolophus",60,39,32,22,32,39,43,44,30,37
"6","Kotasaurus",69,57,85,45,50,32,22,16,19,16
"7","Atlascopcosaurus",124,130,162,139,175,168,109,85,110,131
"8","Albertadromeus",23,20,16,12,7,8,11,10,14,20
"9","Saurornithoides",153,93,136,109,155,113,113,162,241,157
"10","Australodocus",196,249,192,104,72,93,53,64,53,31
"11","Bonapartenykus",37,55,80,74,95,114,144,179,179,165
"12","Arcovenator",161,172,162,235,120,68,69,81,108,160
"13","Angaturama",192,246,145,146,172,151,153,188,229,273
"14","Allosaurus",194,184,134,166,161,192,142,111,122,98
"15","Aralosaurus",134,130,172,101,118,165,152,105,59,74
"16","Spinosaurus",123,156,134,115,112,63,53,33,46,41
"17","Giganotosaurus",137,93,95,58,59,46,51,61,76,107
"18","Cryolophosaurusellioti",122,168,119,121,148,74,84,42,34,44
"19","Anabisetia",135,72,66,42,28,25,28,14,17,9
"20","Dromiceiomimus",13,16,15,18,11,12,16,21,29,43
"21","Bravoceratops",188,122,160,102,151,121,82,108,62,93
"22","Ammosaurus",88,58,36,45,62,78,44,62,92,130
"23","Euoplocephalus",144,127,67,41,25,29,22,14,16,8
"24","Avaceratops",90,123,107,159,210,273,238,188,226,312
"25","Acanthopholis",112,96,126,147,97,86,68,56,34,28
"26","Barosaurus",99,115,63,54,71,57,73,43,64,33
"27","Tyrannosaurusrex",73,64,55,45,28,34,26,29,26,35
"28","Antetonitrus",193,220,319,332,428,526,368,184,252,166
"29","Nemegtosaurus",143,144,192,171,133,172,91,132,174,124
"30","Ceratonykus",93,140,178,212,246,123,71,100,104,112
"31","Aublysodon",75,47,33,48,52,71,50,31,27,17
"32","Saurornithoides",157,82,62,90,95,101,145,197,221,236
"33","Aviatyrannis",117,137,192,186,253,329,408,408,445,316
"34","Brachytrachelopan",40,48,45,50,64,89,112,129,89,121
"35","Saurischian",11,9,8,6,5,7,7,6,9,11
"36","Abrosaurus",199,219,274,362,539,356,299,281,388,566
"37","Aristosuchus",127,177,248,357,368,464,515,386,571,491
"38","Australovenator",149,118,153,89,117,174,89,114,114,60
"39","Auroraceratops",61,56,50,46,55,72,104,124,81,68
"40","Anodontosaurus",189,166,198,107,116,173,140,71,67,55
"41","Austroraptor",175,256,195,255,365,215,138,148,170,117
"42","Camptosaurus",159,149,183,104,154,97,96,63,94,92
"43","Oohkotokia",94,130,182,187,135,73,81,86,98,80
"44","struthiomimus",81,60,50,42,29,35,46,66,64,45
"45","Albertonykus",84,124,115,101,152,158,139,147,168,203
"46","Theropods",108,149,142,106,86,65,73,105,82,74
"47","Barapasaurus",183,223,216,210,237,199,193,151,181,215
"48","Alaskacephale",89,85,71,89,76,81,43,45,29,42
"49","Barsboldia",53,35,49,35,47,35,42,55,69,63
"50","Noasaurus",164,174,134,174,191,101,96,117,151,118
"51","Marginocephalians",150,214,253,126,83,69,77,49,43,22
"52","",146,117,154,152,220,216,151,107,108,60
"53","Carnotaurus",182,126,73,91,81,80,60,56,50,74
"54","Ojoceratops",141,185,185,224,170,158,177,138,161,182
"55","Pachycephalosaurus",136,170,168,118,103,84,97,66,96,113
"56","Wulagasaurus",32,18,19,21,26,19,23,33,17,20
"57","Edmontosaurus",8,7,10,8,10,11,6,8,11,7
"58","Agilisaurus",83,100,78,66,80,44,61,34,33,41
"59","Albalophosaurus",126,125,129,124,166,191,239,174,124,87
"60","Saltriosaurus",163,106,93,104,54,44,64,68,73,58
"61","Altirhinus",24,25,13,15,15,11,11,15,20,23
"62","Hypsilophodon",19,26,39,40,20,19,28,18,23,21
"63","Hadrosaurus",138,117,176,153,129,166,217,208,264,322
"64","Ornithomimus",97,112,166,232,343,490,353,229,192,236
