"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Neovenator",7,10,9,9,10,8,10,12,10,6
"2","Angolatitan",40,34,46,28,29,42,57,45,30,45
"3","Acristavus",162,238,138,87,96,140,132,88,120,160
"4","Abelisaurus",122,76,94,132,79,76,52,64,45,30
"5","Camarillasaurus",54,51,73,82,116,162,107,134,158,194
"6","Australovenator",16,15,10,15,10,8,6,7,5,6
"7","Titanosaurids",163,176,120,72,56,72,84,48,71,62
"8","Ajkaceratops",78,84,47,48,46,53,78,105,54,33
"9","Brachytrachelopan",188,128,70,88,56,71,104,92,89,64
"10","Wulagasaurus",38,49,69,69,57,75,71,85,116,116
"11","Arcovenator",86,117,60,78,83,91,97,77,66,40
"12","Atlascopcosaurus",182,157,204,253,180,207,275,289,332,415
"13","Gondwanatitan",142,158,81,71,86,95,142,108,121,81
"14","Apatosaurus",57,74,40,30,39,42,37,40,25,29
"15","Procompsognathus",143,80,49,72,53,32,20,14,8,11
"16","Byronosaurus",150,216,255,298,161,184,201,261,360,256
"17","Anserimimus",72,65,46,58,32,22,12,17,22,19
"18","Angaturama",121,105,79,50,56,54,71,91,118,148
"19","Bravoceratops",103,96,132,129,89,101,115,114,62,76
"20","Austrosaurus",114,84,77,70,53,64,75,111,88,84
"21","Ammosaurus",116,85,79,56,61,36,36,41,46,48
"22","Ouranosaurus",173,204,212,284,210,309,275,388,279,343
"23","Austroraptor",29,39,39,29,20,13,13,10,6,7
"24","Antetonitrus",52,46,36,25,15,15,14,10,5,3
"25","Alvarezsaurus",145,199,219,155,202,170,95,138,206,253
"26","Khaan",100,129,98,142,166,194,105,67,76,57
"27","Brachiosaurus",15,14,17,15,19,26,18,13,7,5
"28","Bahariasaurus",160,235,162,157,184,201,233,191,235,134
"29","Alwalkeria",61,36,28,38,21,32,31,35,32,40
"30","struthiomimus",51,69,79,107,153,98,112,120,158,120
"31","Abydosaurus",106,145,119,75,100,139,154,149,185,233
"32","Allosaurus",128,72,106,71,74,107,111,155,229,337
"33","Yixianosaurus",95,107,71,82,98,90,106,135,134,142
"34","Theropods",19,22,27,30,40,32,44,66,47,68
"35","Tarbosaurus",17,10,7,7,7,9,10,11,16,12
"36","Marginocephalians",30,32,25,30,43,25,26,21,29,23
"37","Segnosaurus",194,215,224,276,293,249,139,171,130,110
"38","Anzu",200,298,235,233,217,141,210,145,135,73
"39","Bactrosaurus",120,127,108,103,136,137,162,170,144,111
"40","Agujaceratops",185,198,206,293,258,328,469,661,562,680
"41","Saltasaurus",35,52,28,20,20,28,29,36,26,22
"42","Aletopelta",131,98,128,96,61,59,52,35,23,23
"43","Saltopus",155,108,69,64,48,60,55,57,42,39
"44","Aristosuchus",159,165,137,103,73,100,119,130,91,88
"45","Kaijiangosaurus",181,270,354,269,379,337,472,396,348,230
"46","Vulcanodon",22,26,28,19,12,18,24,17,20,11
"47","Avaceratops",94,102,88,131,83,52,77,59,53,31
"48","Hadrosaurids",118,146,147,81,40,21,17,16,13,8
"49","Australodocus",107,57,80,75,111,120,130,82,117,166
"50","Alaskacephale",11,9,9,6,7,8,9,10,9,11
"51","Therizinosaurus",198,208,168,170,216,134,198,261,154,154
"52","Beipiaosaurus",36,42,34,45,67,62,74,47,63,33
"53","Rinconsaurus",148,102,148,155,194,118,132,153,230,244
"54","Auroraceratops",12,8,6,7,6,9,5,4,3,3
"55","Albertonykus",161,93,105,58,72,89,72,85,99,128
"56","Albertadromeus",108,116,110,78,101,99,148,87,68,55
