"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Anchiornis",65,80,120,131,135,103,133,198,147,219
"2","Anzu",146,107,61,84,85,92,69,62,87,57
"3","Angaturama",66,69,96,55,38,27,18,22,26,16
"4","Camptosaurus",70,46,24,13,19,16,13,16,10,6
"5","Anabisetia",33,42,43,25,18,9,5,5,7,8
"6","Procompsognathus",17,13,8,8,6,8,11,16,13,12
"7","Hadrosaurus",149,210,136,102,96,137,193,264,380,346
"8","Acanthopholis",129,144,135,88,70,64,35,45,38,37
"9","Agilisaurus",77,40,23,34,31,37,51,67,96,54
"10","Australovenator",85,92,132,107,149,152,85,82,52,60
"11","Cetiosauriscus",67,40,56,58,56,82,109,74,98,70
"12","Carnotaurus",47,54,32,39,47,34,37,33,18,18
"13","Saurischian",60,74,43,46,31,21,21,22,22,31
"14","Seismosaurus",164,189,117,87,86,75,80,70,78,112
"15","Tarbosaurus",179,218,172,101,145,215,239,292,380,479
"16","Barapasaurus",192,242,257,383,417,534,721,973,749,816
"17","Bagaceratops",198,103,91,125,144,96,125,79,43,56
"18","Aletopelta",118,169,113,134,174,157,108,127,169,140
"19","Saurornithoides",96,107,109,135,188,152,134,157,168,133
"20","Albertadromeus",93,53,67,35,46,44,38,39,34,41
"21","Berberosaurus",200,180,162,107,119,139,110,161,84,121
"22","Achelosaurus",165,140,119,157,83,91,125,188,149,145
"23","Camarillasaurus",95,49,31,37,28,26,16,22,11,6
"24","Barsboldia",154,120,119,76,87,56,68,41,49,45
"25","Brachiosaurus",35,33,24,28,24,14,10,11,8,6
"26","Ornithopods",156,140,73,70,85,66,79,49,42,28
"27","Alvarezsaurus",71,51,62,34,49,58,38,44,32,31
"28","Gargoyleosaurus",178,173,225,191,256,166,96,57,53,47
"29","Apatosaurus",143,154,86,63,51,38,36,38,46,36
"30","Antetonitrus",191,210,200,166,191,122,65,76,88,83
"31","Anserimimus",162,172,251,334,414,588,594,719,439,312
"32","Pachycephalosaurus",79,55,58,63,52,54,44,36,48,26
"33","Bahariasaurus",137,129,178,107,153,141,162,202,190,160
"34","Vulcanodon",116,152,210,250,225,230,136,186,132,71
"35","Acrotholus",189,229,300,306,168,175,152,170,221,117
"36","Thyreophorans",81,83,75,106,65,36,26,36,54,52
"37","Rinconsaurus",171,231,261,347,455,309,454,590,342,380
"38","Austroraptor",50,48,45,44,60,36,25,15,18,14
"39","Spinosaurus",109,64,63,48,52,68,79,93,139,93
"40","Ojoceratops",53,34,31,38,43,28,22,26,16,22
"41","Aragosaurus",56,57,61,86,109,164,139,182,173,114
"42","Neovenator",174,139,118,88,102,143,122,146,85,109
"43","Khaan",110,140,70,92,132,191,101,131,182,153
"44","Animantarx",51,45,57,43,43,33,39,51,31,37
"45","Ajkaceratops",40,39,50,34,25,15,20,24,34,47
"46","Acristavus",22,18,21,17,22,16,19,14,19,10
"47","Saurornithoides",145,197,290,162,186,106,107,132,75,101
"48","Hadrosaurids",72,96,143,122,173,228,276,381,240,336
"49","Bonitasaura",183,225,338,392,278,220,319,478,602,795
"50","Ornithomimus",132,178,242,261,360,216,192,225,158,199
"51","Amazonsaurus",21,29,35,34,35,40,38,20,16,9
"52","Arcovenator",159,159,189,266,133,169,250,275,366,333
"53","Mamenchisaurus",42,31,21,15,16,13,12,9,13,6
"54","Brachytrachelopan",75,109,101,148,198,293,264,143,156,112
"55","Abrosaurus",114,58,78,41,62,56,31,38,22,14
"56","Ceratonykus",99,137,92,91,125,186,219,302,157,204
"57","Auroraceratops",119,171,144,173,249,324,379,330,386,467
"58","Judiceratops",59,74,54,45,27,31,41,39,51,63
"59","Asylosaurus",135,92,79,78,55,43,24,28,33,23
"60","Quaesitosaurus",184,241,174,238,355,522,746,1022,572,801
"61","Agujaceratops",153,145,74,81,75,99,131,190,190,190
"62","Abelisaurus",157,162,241,210,265,212,172,203,221,141
"63","Avaceratops",197,250,215,221,183,178,263,387,325,328
"64","Ampelosaurus",136,171,227,173,194,283,294,400,500,405
"65","Styracosaurus",104,156,234,253,296,334,291,416,399,479
"66","Abrictosaurus",58,38,40,53,60,44,57,86,46,29
"67","Atlascopcosaurus",39,48,26,27,23,19,26,34,20,12
"68","Dromiceiomimus",175,94,135,103,127,69,44,47,26,26
"69","Beipiaosaurus",88,100,89,132,158,186,117,88,126,169
"70","Atrociraptor",74,54,38,19,21,25,36,26,21,23
"71","Amphicoelias",23,12,9,11,11,9,11,13,12,8
"72","Parasaurolophus",170,163,225,187,269,253,197,280,241,128
"73","Ouranosaurus",73,53,58,31,24,12,12,18,11,6
"74","Australodocus",128,77,69,97,107,97,108,127,95,113
"75","Zhuchengceratops",180,220,312,290,258,250,225,277,152,226
"76","Aquilops",83,51,75,68,40,24,21,21,27,18
"77","Kaijiangosaurus",177,205,127,116,144,92,76,79,49,47
"78","Incisivosaurus",181,219,145,88,128,146,92,122,92,93
"79","Aorun",80,107,86,110,103,124,174,165,144,209
"80","Astrodon",78,96,120,89,99,78,111,65,68,34
"81","Amargasaurus",142,116,142,189,159,199,275,138,80,114
"82","Cryolophosaurusellioti",150,182,95,81,64,66,33,34,30,15
"83","Barosaurus",144,183,146,216,117,159,173,223,165,99
"84","Austrosaurus",134,90,58,59,51,30,43,29,21,28
"85","Bistahieversor",169,172,101,95,111,89,78,76,111,69
