"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Anzu",183,260,315,328,374,367,473,383,498,553
"2","Styracosaurus",36,26,14,16,15,16,23,20,25,22
"3","Pachyrhinosaurus",149,112,78,112,124,84,44,54,43,22
"4","Marginocephalians",84,90,94,131,145,100,63,92,110,122
"5","Titanosaurids",195,105,152,167,119,178,194,287,422,380
"6","Gondwanatitan",110,157,107,155,98,74,42,59,38,38
"7","Hypsilophodon",115,171,255,303,176,155,223,330,485,325
"8","Antetonitrus",177,97,112,82,114,125,75,77,83,103
"9","Zhuchengceratops",38,55,82,107,57,75,82,98,76,73
"10","Alioramus",45,64,63,77,71,70,88,81,82,69
"11","Becklespinax",26,25,17,25,21,18,11,9,6,5
"12","Aardonyx",9,12,9,7,10,11,11,8,6,3
"13","Therizinosaurus",10,10,10,12,16,22,13,11,8,8
"14","Saltopus",173,218,310,170,206,220,176,260,263,387
"15","Camptosaurus",97,129,159,181,197,122,162,168,171,168
"16","Carnotaurus",29,41,21,19,25,26,25,22,11,15
"17","Hadrosaurus",170,165,185,168,250,330,333,490,495,599
"18","Ajkaceratops",191,107,96,108,86,86,117,143,162,212
"19","Bistahieversor",62,83,68,58,66,90,76,73,40,39
"20","Ampelosaurus",89,59,68,88,48,42,58,78,51,35
"21","",139,128,74,61,43,39,25,21,27,39
"22","Alamosaurus",17,20,22,26,16,12,9,11,10,15
"23","Angulomastacator",31,19,26,29,37,43,37,34,39,50
"24","Albertonykus",30,33,20,20,15,19,19,25,28,19
"25","Anodontosaurus",7,5,7,9,5,4,3,2,1,1
"26","Quaesitosaurus",135,74,109,154,114,128,83,120,127,117
"27","Albalophosaurus",154,97,143,193,174,124,77,79,43,29
"28","Ammosaurus",22,32,18,10,13,10,14,16,20,14
"29","Aviatyrannis",111,64,90,111,101,115,110,107,125,120
"30","Saltriosaurus",155,232,320,333,193,191,149,164,239,122
"31","Saurornithoides",106,125,99,68,90,86,72,75,69,67
"32","Rhabdodon",95,106,78,66,96,50,36,34,45,56
"33","Australovenator",167,209,205,238,336,175,214,190,122,129
"34","Altirhinus",185,130,100,148,130,148,154,139,126,150
"35","Abrictosaurus",163,85,116,122,156,158,229,202,289,396
"36","Saurornithoides",92,123,89,56,82,91,113,137,169,218
"37","Asylosaurus",156,117,117,172,187,226,215,275,187,236
"38","Rinconsaurus",162,202,117,119,117,113,119,79,117,111
"39","Eobrontosaurus",12,9,8,6,9,12,14,11,13,14
"40","Ornithomimus",169,186,115,121,109,70,105,102,97,96
"41","Aquilops",194,239,189,263,221,210,193,253,311,252
"42","Incisivosaurus",120,138,149,104,54,36,38,44,51,48
"43","Alwalkeria",52,36,53,70,68,99,129,177,108,159
"44","Bonitasaura",133,90,119,133,140,139,117,149,185,233
"45","Cetiosauriscus",69,90,113,89,85,105,116,113,163,93
"46","Kaijiangosaurus",108,78,63,83,93,101,141,152,216,289
"47","Berberosaurus",71,74,65,60,43,26,29,30,29,37
"48","Ornithopods",42,58,44,34,40,33,17,12,12,10
"49","Barapasaurus",157,177,129,80,70,59,66,46,34,46
"50","Vulcanodon",102,121,71,94,124,76,65,58,57,80
"51","Spinosaurus",141,79,75,105,85,97,53,60,45,49
"52","Oviraptor",37,48,69,49,45,47,37,27,21,13
"53","Ouranosaurus",117,105,152,84,81,83,72,92,86,71
"54","Amargasaurus",53,40,40,56,61,76,78,46,40,59
"55","Wulagasaurus",77,77,92,107,152,105,136,131,109,154
"56","Arrhinoceratops",15,10,11,11,7,4,4,2,2,1
"57","Lusitanosaurus",129,166,108,137,89,117,166,96,127,81
"58","Alvarezsaurus",98,55,67,86,58,33,32,46,63,69
"59","Cryolophosaurusellioti",59,73,99,142,183,178,251,138,193,122
"60","Bahariasaurus",94,88,112,149,203,278,211,253,142,102
"61","Abelisaurus",198,103,154,143,169,198,137,114,128,188
"62","Aragosaurus",21,29,34,39,47,49,47,40,37,23
