"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Saurornithoides",53,51,27,27,16,17,23,13,8,5
"2","Quaesitosaurus",7,7,7,10,13,13,9,8,5,4
"3","Barilium",153,138,204,175,140,71,91,92,95,125
"4","Kotasaurus",160,187,120,92,124,130,190,122,138,145
"5","Barsboldia",16,17,9,5,4,4,4,6,9,6
"6","Aardonyx",51,42,42,45,31,37,55,40,25,12
"7","Albalophosaurus",114,119,63,42,61,59,85,46,60,76
"8","Titanosaurids",35,49,45,49,31,36,34,47,34,18
"9","Wulagasaurus",58,64,83,95,140,119,175,208,275,168
"10","Yixianosaurus",93,47,40,28,27,14,9,9,6,5
"11","Camptosaurus",128,160,98,144,105,58,42,34,49,36
"12","Amurosaurus",94,87,74,38,25,28,41,36,22,18
"13","Hadrosaurids",18,25,17,12,6,9,8,9,13,11
"14","Oohkotokia",21,11,10,14,12,7,8,9,5,5
"15","Ekrixinatosaurus",185,92,125,89,94,114,140,84,80,87
"16","Amygdalodon",147,154,136,90,63,56,31,33,43,49
"17","Amazonsaurus",144,184,144,161,137,179,98,136,129,188
"18","Yongjinglong",90,67,82,62,84,75,58,52,43,58
"19","Saltasaurus",23,27,16,18,24,25,17,12,11,9
"20","Seismosaurus",175,163,230,152,135,163,83,124,177,112
"21","Marginocephalians",150,222,313,401,353,427,290,354,205,102
"22","Deinonychus",180,229,206,181,243,350,368,423,541,465
"23","Barosaurus",28,24,34,26,36,43,62,42,47,24
"24","Euoplocephalus",183,223,118,142,180,184,210,227,222,233
"25","Animantarx",118,63,46,66,67,64,88,92,92,118
"26","Cetiosauriscus",76,87,46,28,22,21,12,6,6,8
"27","Edmontosaurus",195,252,318,213,198,263,224,204,237,284
"28","Camarillasaurus",77,44,34,26,14,9,10,7,4,4
"29","Rinconsaurus",121,129,184,215,112,76,70,50,50,68
"30","Tarbosaurus",169,115,128,69,45,45,54,59,87,47
"31","Segnosaurus",24,17,20,26,34,35,40,48,63,83
"32","Ornithomimus",159,161,227,304,356,427,384,292,312,165
"33","Hadrosaurus",42,51,32,19,18,9,6,4,3,2
"34","Ornithopods",61,91,55,41,34,34,34,46,45,58
"35","Bonitasaura",72,101,55,68,45,49,28,38,44,30
"36","Giganotosaurus",157,97,95,92,60,32,26,18,13,7
"37","struthiomimus",17,10,7,10,7,10,10,8,10,6
"38","Arcovenator",110,142,74,40,33,22,21,19,20,11
"39","Dromiceiomimus",54,34,44,34,35,51,36,32,27,28
"40","Indosuchus",9,12,10,12,16,11,9,5,3,2
"41","Alamosaurus",146,209,299,389,319,246,290,180,90,122
"42","Gryposaurus",85,54,29,16,21,19,24,29,22,23
"43","Therizinosaurus",178,262,249,157,165,206,309,294,162,170
"44","Albertadromeus",143,169,103,95,57,31,23,23,21,30
"45","Bagaceratops",6,4,5,4,5,7,5,6,5,7
"46","Anabisetia",99,123,141,123,178,192,144,102,95,89
"47","Berberosaurus",98,122,168,227,261,162,162,96,60,85
"48","Pachycephalosaurus",156,159,215,275,333,166,159,124,125,148
"49","Parasaurolophus",39,39,37,20,28,22,27,26,32,41
"50","Gondwanatitan",193,249,199,249,164,192,275,300,252,295
"51","Australodocus",78,102,129,116,70,46,36,38,52,58
"52","Saurischian",30,34,18,9,13,13,10,13,18,13
"53","Mamenchisaurus",179,125,119,73,86,58,34,43,45,54
