"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Bactrosaurus",196,237,341,307,448,587,669,997,768,637
"2","",182,193,243,143,137,147,216,296,382,222
"3","Aletopelta",145,174,113,94,99,127,81,109,87,55
"4","Anabisetia",110,126,137,190,180,90,126,159,186,244
"5","Austrosaurus",199,271,192,240,353,219,315,315,296,240
"6","Hadrosaurids",60,84,116,117,64,72,41,49,27,22
"7","Anodontosaurus",91,109,54,78,47,37,28,39,26,32
"8","Ceratonykus",87,77,75,56,53,57,38,53,28,41
"9","Archaeoceratops",99,56,60,34,50,26,24,16,21,29
"10","Aorun",154,102,148,89,108,67,48,68,51,66
"11","Bravoceratops",23,19,22,28,31,28,39,25,28,34
"12","Byronosaurus",24,30,31,37,48,67,42,58,68,76
"13","Achelosaurus",124,160,174,153,95,54,53,30,37,37
"14","Suchomimus",95,74,92,107,82,57,44,62,52,68
"15","Saurornithoides",36,39,37,44,38,36,26,14,12,8
"16","Angaturama",81,84,60,49,74,110,55,64,73,53
"17","Saurischian",165,147,154,117,128,68,95,129,165,210
"18","Thyreophorans",161,177,207,288,222,324,201,193,158,125
"19","Barapasaurus",90,54,51,47,67,74,66,51,61,37
"20","Incisivosaurus",183,106,81,98,62,90,119,169,213,130
"21","Eobrontosaurus",191,128,67,58,67,46,29,38,54,37
"22","Parasaurolophus",78,105,152,134,161,166,214,263,281,284
"23","Alaskacephale",37,27,25,36,41,57,74,72,87,117
"24","Amazonsaurus",100,114,82,116,113,79,67,37,36,34
"25","Wulagasaurus",118,85,60,53,74,87,80,48,61,52
"26","Hadrosaurus",108,94,68,84,123,160,224,164,231,342
"27","Aquilops",164,187,204,116,116,147,132,154,157,190
"28","Zhuchengceratops",189,100,143,129,144,164,244,329,171,130
"29","Procompsognathus",133,165,125,78,101,83,104,115,117,172
"30","Anserimimus",155,144,120,101,124,126,154,174,259,285
"31","Tarbosaurus",58,46,43,42,35,33,25,31,44,35
"32","Khaan",17,23,21,25,26,20,30,45,38,19
"33","Saltopus",113,127,88,121,149,98,73,85,99,62
"34","Amargasaurus",93,52,37,44,27,38,49,24,33,33
"35","Aublysodon",69,43,23,34,24,22,21,23,13,19
"36","Ceratonykus",127,151,121,76,48,52,76,66,34,51
"37","Wannanosaurus",54,42,23,12,6,4,3,3,4,3
"38","Rajasaurus",39,53,55,64,70,82,104,57,44,48
"39","Vulcanodon",35,50,55,75,43,40,30,39,27,15
"40","Alwalkeria",116,89,85,71,50,46,25,26,24,18
"41","Gryposaurus",169,203,114,148,161,84,98,77,39,25
"42","Brachiosaurus",156,103,131,71,41,50,47,52,72,85
"43","Theropods",121,106,94,108,81,104,127,94,60,69
"44","Berberosaurus",149,186,166,234,295,310,403,532,277,233
"45","Albertonykus",9,12,17,16,23,19,22,18,24,26
"46","Bruhathkayosaurus",14,10,8,8,11,16,9,8,5,3
"47","Atrociraptor",42,56,31,29,40,49,60,74,87,121
"48","Therizinosaurus",19,13,8,4,2,2,3,2,1,1
