"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Angolatitan",31,43,35,19,19,10,9,11,13,13
"2","Achelosaurus",90,72,79,105,116,135,135,153,109,83
"3","Aardonyx",145,148,222,178,94,51,65,47,46,62
"4","Thyreophorans",93,52,66,48,33,44,30,20,15,10
"5","Australodocus",144,131,115,79,101,61,65,49,70,43
"6","Vulcanodon",12,16,23,31,33,39,20,29,21,19
"7","Altirhinus",32,44,55,49,32,21,15,20,19,16
"8","Bonitasaura",61,60,70,50,34,21,12,9,8,8
"9","Rinconsaurus",157,148,141,197,294,362,210,294,435,370
"10","Yongjinglong",25,18,23,32,46,28,26,38,41,59
"11","Atlascopcosaurus",81,75,110,92,99,100,51,58,46,47
"12","Bruhathkayosaurus",191,206,245,152,126,87,57,51,47,59
"13","Anodontosaurus",36,24,35,36,33,39,58,70,78,43
"14","",15,8,7,8,4,6,5,7,9,7
"15","Kaijiangosaurus",118,173,192,188,102,93,113,76,106,69
"16","Cetiosauriscus",123,124,78,42,57,77,116,66,65,66
"17","Theropods",51,61,65,55,39,41,23,15,20,10
"18","Barosaurus",135,113,147,121,120,179,93,134,122,88
"19","Marginocephalians",69,72,67,41,39,49,26,28,14,15
"20","Balaur",183,106,106,117,61,78,104,55,42,24
"21","Yixianosaurus",169,118,96,60,50,50,74,50,72,105
"22","Quaesitosaurus",9,13,18,11,6,8,8,6,6,9
"23","Alamosaurus",192,236,217,230,343,370,266,386,506,253
"24","Amurosaurus",133,174,177,154,191,157,102,97,135,93
"25","Hadrosaurids",34,18,24,36,53,26,30,17,24,33
"26","Aletopelta",76,106,95,69,76,71,67,71,38,33
"27","Incisivosaurus",11,16,16,18,23,23,20,30,29,41
"28","Beipiaosaurus",16,10,7,5,3,2,3,2,2,3
"29","Brachytrachelopan",121,133,110,134,68,58,42,45,23,20
"30","Alvarezsaurus",136,97,110,66,41,35,52,48,35,39
"31","Berberosaurus",117,164,93,59,60,57,55,38,23,22
"32","Becklespinax",56,80,106,128,73,106,132,103,54,57
"33","Camptosaurus",78,105,101,89,65,70,89,95,81,104
"34","Bahariasaurus",116,66,47,41,60,41,38,55,55,39
"35","Albertonykus",42,45,43,37,44,37,28,29,30,26
"36","Rajasaurus",62,74,67,66,66,46,40,22,28,23
"37","Anabisetia",28,39,50,35,22,29,31,18,20,28
"38","Auroraceratops",99,121,121,106,146,73,69,40,33,48
"39","Bothriospondylus",6,6,6,4,3,4,6,4,3,2
"40","Barsboldia",85,84,65,34,19,18,14,12,17,14
"41","Euoplocephalus",171,154,97,109,108,161,97,56,76,49
"42","Avaceratops",87,115,147,87,77,69,66,59,88,44
"43","Edmontosaurus",86,93,75,109,155,212,142,82,114,163
"44","Thecodontosaurus",24,16,13,7,6,4,4,3,4,3
"45","Anchiornis",45,32,23,32,21,21,32,44,60,81
"46","Ojoceratops",27,17,14,9,9,8,7,10,6,4
"47","Indosuchus",176,150,154,102,115,115,122,183,247,346
"48","Astrodon",49,30,26,29,20,21,25,28,27,22
"49","Arcovenator",50,34,27,15,8,7,5,7,9,6
"50","Aristosuchus",74,51,58,45,25,22,31,34,47,37
"51","Alaskacephale",102,129,103,85,76,87,73,38,48,63
"52","Camarillasaurus",177,113,166,111,107,80,54,47,43,42
"53","struthiomimus",97,53,28,26,30,21,24,33,41,40
"54","Titanosaurids",186,240,360,263,245,343,497,586,721,598
"55","Saltriosaurus",127,130,103,103,126,86,64,88,121,123
"56","Albertadromeus",168,106,139,108,104,52,64,36,34,46
"57","Cryolophosaurusellioti",138,80,89,103,105,133,112,131,155,208
"58","Procompsognathus",119,99,55,50,58,44,64,55,28,34
"59","Ajkaceratops",122,181,215,161,145,74,48,35,35,26
"60","Saurornithoides",179,188,192,244,298,322,441,388,241,243
"61","Dromiceiomimus",96,105,54,45,62,68,88,105,120,96
"62","Hadrosaurus",67,96,127,99,67,56,74,83,52,54
"63","Coelurus",98,83,67,82,109,147,132,107,122,121
"64","Acristavus",58,48,37,24,22,11,6,8,8,10
"65","Rhabdodon",5,3,2,2,3,3,3,2,3,3
"66","Wulagasaurus",66,40,35,43,37,44,43,54,39,39
"67","Abrictosaurus",129,70,78,69,73,48,30,40,60,70
