"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Amygdalodon",8,8,7,10,14,8,5,4,5,6
"2","Saltriosaurus",178,114,93,77,58,32,46,32,20,11
"3","Carnotaurus",146,213,232,204,220,279,405,526,621,491
"4","Angaturama",196,267,384,292,272,310,353,374,404,347
"5","Theropods",180,99,130,164,112,84,122,151,146,182
"6","Vulcanodon",18,24,22,11,7,6,9,12,13,7
"7","Euoplocephalus",29,15,22,18,27,39,27,35,48,57
"8","Ouranosaurus",116,173,142,118,114,64,95,79,108,58
"9","Aragosaurus",98,55,76,66,73,104,114,171,157,86
"10","Achelosaurus",104,54,75,94,132,193,168,228,141,73
"11","Atlascopcosaurus",76,109,132,144,127,164,239,335,429,403
"12","Acrotholus",106,109,158,224,166,181,257,254,277,391
"13","Alxasaurus",81,87,118,98,122,131,152,181,141,148
"14","Amphicoelias",39,47,67,41,24,33,34,39,55,67
"15","Pachyrhinosaurus",121,178,123,90,78,63,78,89,49,28
"16","Byronosaurus",44,46,56,77,52,52,68,95,108,94
"17","Hadrosaurus",78,98,84,117,87,98,76,106,85,70
"18","Barilium",139,118,157,149,150,219,177,242,179,222
"19","Agilisaurus",58,83,46,25,13,19,27,23,19,16
"20","Archaeoceratops",136,102,124,72,104,140,175,184,228,249
"21","Zhuchengceratops",95,98,122,61,62,43,43,22,17,13
"22","Oviraptor",97,144,150,176,215,196,192,234,323,368
"23","Barsboldia",96,63,83,90,111,90,114,105,109,113
"24","Ornithopods",189,130,69,55,80,58,50,33,33,33
"25","Ajkaceratops",63,32,38,40,51,45,57,47,37,52
"26","Wulagasaurus",40,56,33,32,26,23,25,24,18,26
"27","Barosaurus",43,42,47,53,73,58,75,52,48,72
"28","Rajasaurus",61,68,79,100,52,56,79,107,70,75
"29","Allosaurus",130,172,239,160,125,175,117,99,115,162
"30","Nemegtosaurus",173,232,123,157,188,120,96,72,93,77
"31","Deinonychus",191,105,66,86,120,145,74,82,41,47
"32","Tarbosaurus",176,113,105,148,117,145,97,73,58,63
"33","Aardonyx",91,56,39,46,42,37,28,26,19,23
"34","Aletopelta",109,146,117,133,74,107,111,129,150,206
"35","Balaur",69,57,42,37,54,64,58,86,69,86
"36","Bothriospondylus",138,157,133,164,138,153,113,103,107,138
"37","Berberosaurus",88,59,37,33,25,32,26,34,32,20
"38","Eobrontosaurus",22,20,26,25,14,9,13,16,10,10
"39","Argyrosaurus",26,27,19,23,19,28,22,32,40,58
"40","Acristavus",71,94,73,85,59,82,80,69,55,65
"41","Albertadromeus",179,179,125,92,77,59,67,97,137,203
"42","Astrodon",10,12,16,16,16,15,12,10,8,9
"43","Rhabdodon",86,74,39,33,46,48,32,25,25,23
"44","Abrosaurus",92,62,66,36,21,26,15,16,22,16
"45","Ammosaurus",127,67,76,100,64,67,89,129,89,93
"46","Gryposaurus",115,171,91,98,89,117,96,61,78,84
"47","Australovenator",19,17,11,15,8,5,6,5,6,6
"48","Amurosaurus",114,71,102,69,48,33,30,27,32,43
"49","Ampelosaurus",25,29,20,18,11,11,8,7,6,3
"50","Bistahieversor",134,169,248,236,198,141,180,268,206,245
"51","Abelisaurus",49,43,51,62,71,106,138,79,86,71
"52","Thyreophorans",141,90,106,110,142,92,113,98,140,165
"53","Camarillasaurus",200,222,238,209,213,294,353,427,359,302
"54","Khaan",15,14,9,13,18,20,11,16,18,26
"55","Saltasaurus",9,5,4,3,4,5,5,7,6,6
"56","Anchiornis",143,163,238,338,352,201,225,270,356,520
"57","Thecodontosaurus",182,133,178,101,79,81,51,33,47,63
"58","Aristosuchus",57,43,29,32,29,41,42,30,24,18
"59","Austrosaurus",105,86,93,48,44,42,56,74,46,63
"60","Agujaceratops",137,189,163,126,96,86,117,58,65,42
"61","Animantarx",64,74,99,87,78,91,110,123,124,134
"62","Brachytrachelopan",70,45,23,22,16,20,10,15,11,14
"63","Ornithomimus",36,34,29,16,22,29,42,39,45,52
"64","Giganotosaurus",184,206,299,326,368,291,262,212,214,272
"65","Altirhinus",50,36,34,28,25,17,22,18,15,21
"66","Ojoceratops",83,48,28,39,27,23,32,30,24,35
"67","Albalophosaurus",160,147,154,116,168,170,163,199,125,128
"68","Indosuchus",192,276,276,235,343,398,235,237,242,264
"69","Aublysodon",153,121,172,198,154,99,101,132,139,82
"70","Aegyptosaurus",47,28,39,48,54,53,51,63,49,60
"71","Arcovenator",145,177,200,288,337,431,216,244,288,294
"72","Gargoyleosaurus",42,26,27,18,20,28,27,22,29,22
