"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"1","Cetiosauriscus",77,81,104,135,134,80,66,73,72,42
"2","Saltriosaurus",29,33,24,35,35,41,54,65,57,64
"3","Antetonitrus",144,107,66,94,125,70,99,128,132,176
"4","Judiceratops",186,95,120,175,126,183,232,179,215,320
"5","Kaijiangosaurus",74,101,95,141,144,86,126,127,130,104
"6","Yongjinglong",21,27,18,15,12,10,13,18,15,15
"7","Aralosaurus",140,209,307,430,331,371,430,486,525,399
"8","struthiomimus",102,107,71,105,146,128,106,122,154,194
"9","Saurischian",103,109,155,107,88,88,82,49,45,35
"10","",185,226,165,104,75,84,123,140,74,61
"11","Alaskacephale",171,176,225,216,279,346,291,320,234,255
"12","Aorun",179,154,112,74,70,62,89,51,62,87
"13","Alioramus",22,24,15,8,6,5,5,3,3,4
"14","Coelurus",172,179,240,266,282,217,276,144,144,147
"15","Auroraceratops",41,27,35,32,19,24,34,27,25,14
"16","Aviatyrannis",93,98,83,105,96,132,157,196,157,102
"17","Saurornithoides",17,17,16,20,22,13,15,20,17,17
"18","Anserimimus",200,220,172,101,94,109,112,160,90,86
"19","Atrociraptor",115,167,185,170,221,214,321,421,442,614
"20","Ornithopods",92,134,72,55,60,71,103,143,144,184
"21","Saltopus",42,26,16,21,21,27,37,19,19,20
"22","Ceratonykus",49,50,60,85,72,57,31,23,12,12
"23","Unaysaurus",36,23,24,29,30,22,29,27,27,29
"24","Bonapartenykus",35,28,25,23,19,15,14,14,10,8
"25","Aardonyx",89,59,53,61,36,28,20,28,20,22
"26","Abrosaurus",25,33,39,23,24,16,24,31,22,18
"27","Seismosaurus",152,167,120,70,94,90,53,32,16,11
"28","Hypsilophodon",70,80,113,159,172,200,298,298,295,212
"29","Beipiaosaurus",143,107,152,214,297,380,205,275,355,209
"30","Alwalkeria",91,121,60,43,58,59,70,66,75,88
"31","Aublysodon",107,144,216,251,141,140,165,234,185,228
"32","Atlascopcosaurus",86,100,147,132,67,73,84,100,56,47
"33","Anzu",12,15,14,14,20,29,22,20,15,15
"34","Barapasaurus",37,44,49,70,96,99,80,46,58,62
"35","Khaan",51,29,37,19,14,7,10,15,22,32
"36","Zhuchengceratops",61,54,52,64,44,59,54,33,27,18
"37","Agilisaurus",136,129,191,265,217,254,262,317,314,185
"38","Bistahieversor",60,40,43,29,24,21,32,24,22,29
"39","Camarillasaurus",173,100,146,137,192,252,214,229,277,177
"40","Oohkotokia",27,18,13,18,21,23,16,16,17,9
"41","Arcovenator",149,77,101,68,78,39,46,29,21,17
"42","Tarbosaurus",82,53,30,28,15,13,8,4,4,6
"43","Saltasaurus",192,286,255,382,248,129,83,85,47,53
"44","Anabisetia",23,16,12,18,9,10,9,10,5,4
"45","Nemegtosaurus",78,81,44,27,29,30,44,27,28,28
"46","Thecodontosaurus",52,34,39,29,20,22,23,15,10,10
"47","Allosaurus",57,84,49,71,70,91,107,93,119,152
"48","Rhabdodon",33,33,20,18,13,11,9,7,6,5
"49","Amphicoelias",99,61,85,82,49,65,63,67,66,86
"50","Austrosaurus",174,144,151,97,57,74,61,34,46,63
"51","Quaesitosaurus",125,121,125,64,46,68,93,88,55,37
"52","Camptosaurus",112,144,135,131,131,162,219,293,410,471
"53","Avaceratops",71,94,133,198,154,180,232,253,129,177
"54","Ceratonykus",40,28,29,16,22,26,19,27,29,18
"55","Kotasaurus",9,5,3,4,5,7,6,9,8,10
"56","Yixianosaurus",133,136,112,91,72,60,48,29,24,34
"57","Bahariasaurus",94,70,37,41,61,43,31,25,26,28
"58","Achelosaurus",197,217,200,116,94,113,115,84,126,87
"59","Deinonychus",50,55,34,25,19,24,28,24,12,12
"60","Archaeornithomimus",56,66,79,67,46,49,64,83,64,84
"61","Amygdalodon",157,144,158,183,207,240,132,114,59,44
"62","Apatosaurus",188,229,169,196,241,210,141,117,163,139
"63","Ekrixinatosaurus",122,77,69,101,109,100,82,43,37,54
"64","Oviraptor",46,35,51,28,20,18,18,16,19,15
"65","Ajkaceratops",58,59,44,45,62,51,56,53,47,37
"66","Berberosaurus",67,93,104,129,81,80,72,91,59,73
"67","Acanthopholis",139,100,59,30,16,18,15,22,13,14
"68","Bactrosaurus",43,22,21,18,15,11,6,3,2,2
"69","Australodocus",76,55,28,17,18,10,12,7,7,8
"70","Barsboldia",28,27,39,52,34,49,31,24,21,13
"71","Edmontosaurus",187,161,90,100,108,159,111,145,96,79
"72","Brachiosaurus",13,9,9,5,6,5,2,3,4,4
"73","Hadrosaurids",104,81,72,55,72,65,61,60,86,55
"74","Ampelosaurus",87,116,66,90,88,48,39,40,48,60
"75","Alamosaurus",168,160,195,176,111,69,79,72,86,114
"76","Aegyptosaurus",145,135,176,144,72,106,67,54,44,48
"77","Eobrontosaurus",113,71,55,55,35,45,49,36,50,72
"78","Barilium",7,8,9,8,10,11,16,23,25,26
"79","Wulagasaurus",10,13,16,10,8,9,10,8,10,12
"80","Animantarx",175,231,226,294,171,133,128,157,80,92
"81","Astrodon",68,59,53,34,38,42,39,55,69,46
"82","Alxasaurus",19,17,13,9,13,8,10,7,4,3
"83","Gondwanatitan",38,55,38,38,27,32,43,22,20,25
"84","Aquilops",39,46,63,94,71,70,83,63,66,59
"85","Abrictosaurus",105,60,46,59,30,30,15,11,14,18
"86","Brachytrachelopan",73,65,91,54,75,38,55,44,46,29
